UMDM ID,XML Type,collection,series,subseries,box,folder,item,title,date,size,handle,Accession Number,creator,continent,country,region,settlement,umdm pid
11,UMDM,Katherine Anne Porter papers,1,6,57,2,33,"Katherine Anne Porter to Gertrude Beitel, 1957-08-07",1957-08-07,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Connecticut,Southbury,
12,UMDM,Katherine Anne Porter papers,1,6,57,2,36,"Katherine Anne Porter to Gertrude Beitel, 1957-10-06",1957-10-06,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Connecticut,Southbury,
13,UMDM,Katherine Anne Porter papers,1,6,57,2,38,"Katherine Anne Porter to Gertrude Beitel, 1958-04-21",1958-04-21,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Connecticut,Southbury,
14,UMDM,Katherine Anne Porter papers,1,6,57,2,42,Katherine Anne Porter to Gertrude Beitel and Samuel Greenwell 1958-07-07,1958-07-07,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Connecticut,Southbury,
15,UMDM,Katherine Anne Porter papers,1,6,57,2,44,"Katherine Anne Porter to Gertrude Beitel, 1958-07-12",1958-07-12,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Connecticut,Southbury,
16,UMDM,Katherine Anne Porter papers,1,6,57,2,45,"Gertrude Beitel to Katherine Anne Porter, 1958-10-19",1958-10-19,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States,Texas,San Antonio,
17,UMDM,Katherine Anne Porter papers,1,6,57,2,46,"Katherine Anne Porter to Gertrude Beitel, 1958-10-20",1958-10-20,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Virginia,Charlottesville,
18,UMDM,Katherine Anne Porter papers,1,6,57,5,2,"Katherine Anne Porter to Lily Cahill, 1937-03-31",1937-03-31,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,New York,New York,
19,UMDM,Katherine Anne Porter papers,1,6,57,5,41,"Katherine Anne Porter to Lily Cahill, 1953-05-04",1953-05-04,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,New York,New York,
20,UMDM,Katherine Anne Porter papers,1,6,57,5,46,"Katherine Anne Porter to Lily Cahill, undated",undated,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States,New York,New York ,
21,UMDM,Katherine Anne Porter papers,1,6,57,9,2,"Katherine Anne Porter to Albert Erskine, 1935-08-20",1935-08-20,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",Europe,France,Île-de-France,Paris,
22,UMDM,Katherine Anne Porter papers,1,6,57,9,8,"Katherine Anne Porter to Albert Erskine, 1937-09-14",1937-09-14,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
23,UMDM,Katherine Anne Porter papers,1,6,57,9,10,"Katherine Anne Porter to Albert Erskine, 1937-09-23",1937-09-23,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
24,UMDM,Katherine Anne Porter papers,1,6,57,9,12,"Katherine Anne Porter to Albert Erskine, 1937-09-29",1937-09-29,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
25,UMDM,Katherine Anne Porter papers,1,6,57,9,13,"Katherine Anne Porter to Albert Erskine, 1937-10-12",1937-10-12,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
26,UMDM,Katherine Anne Porter papers,1,6,57,9,14,"Katherine Anne Porter to Albert Erskine, 1937-10-22",1937-10-22,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
27,UMDM,Katherine Anne Porter papers,1,6,57,9,16,"Katherine Anne Porter to Albert Erskine, 1937-10-23",1937-10-23,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
28,UMDM,Katherine Anne Porter papers,1,6,57,9,18,"Katherine Anne Porter to Albert Erskine, undated circa 1937",circa 1937,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
29,UMDM,Katherine Anne Porter papers,1,6,57,9,20,"Katherine Anne Porter to Albert Erskine, 1937-10-25",1937-10-25,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
30,UMDM,Katherine Anne Porter papers,1,6,57,9,21,"Katherine Anne Porter to Albert Erskine, 1937-10-28",1937-10-28,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
31,UMDM,Katherine Anne Porter papers,1,6,57,9,24,"Katherine Anne Porter to Albert Erskine, 1937-10-30",1937-10-30,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
32,UMDM,Katherine Anne Porter papers,1,6,57,9,26,"Katherine Anne Porter to Albert Erskine, 1937-11-02",1937-11-02,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
33,UMDM,Katherine Anne Porter papers,1,6,57,9,28,"Katherine Anne Porter to Albert Erskine, 1937-11-04",1937-11-04,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
34,UMDM,Katherine Anne Porter papers,1,6,57,9,29,"Katherine Anne Porter to Albert Erskine, 1937-11-04",1937-11-04,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
35,UMDM,Katherine Anne Porter papers,1,6,57,9,32,"Katherine Anne Porter to Albert Erskine, 1937-11-05",1937-11-05,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
36,UMDM,Katherine Anne Porter papers,1,6,57,9,33,"Katherine Anne Porter to Albert Erskine, 1937-11-08",1937-11-08,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
37,UMDM,Katherine Anne Porter papers,1,6,57,9,35,"Katherine Anne Porter to Albert Erskine, 1937-11-10",1937-11-10,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
38,UMDM,Katherine Anne Porter papers,1,6,57,9,40,"Katherine Anne Porter to Albert Erskine, 1937-11-13",1937-11-13,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
39,UMDM,Katherine Anne Porter papers,1,6,57,9,41,"Katherine Anne Porter to Albert Erskine, 1937-11-13",1937-11-13,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,Unrue edition: pp. 140-141.
40,UMDM,Katherine Anne Porter papers,1,6,57,9,44,"Katherine Anne Porter to Albert Erskine, 1937-11-15",1937-11-15,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
41,UMDM,Katherine Anne Porter papers,1,6,57,9,45,"Katherine Anne Porter to Albert Erskine, 1937-11-16",1937-11-16,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
42,UMDM,Katherine Anne Porter papers,1,6,57,9,46,"Katherine Anne Porter to Albert Erskine, 1937-11-17",1937-11-17,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
43,UMDM,Katherine Anne Porter papers,1,6,57,9,50,"Katherine Anne Porter to Albert Erskine, 1937-12-02",1937-12-02,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
44,UMDM,Katherine Anne Porter papers,1,6,57,9,54,"Katherine Anne Porter to Albert Erskine, 1937-12-07",1937-12-07,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
45,UMDM,Katherine Anne Porter papers,1,6,57,9,58,"Katherine Anne Porter to Albert Erskine, 1937-12-08",1937-12-08,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
46,UMDM,Katherine Anne Porter papers,1,6,57,9,59,"Katherine Anne Porter to Albert Erskine, 1937-12-09",1937-12-09,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
47,UMDM,Katherine Anne Porter papers,1,6,57,9,62,"Katherine Anne Porter to Albert Erskine, 1937-12-13",1937-12-13,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
48,UMDM,Katherine Anne Porter papers,1,6,57,9,65,"Katherine Anne Porter to Albert Erskine, 1937-12-13",1937-12-13,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
49,UMDM,Katherine Anne Porter papers,1,6,57,9,66,"Katherine Anne Porter to Albert Erskine, 1937-12-14 ",1937-12-14,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
50,UMDM,Katherine Anne Porter papers,1,6,57,9,67,"Katherine Anne Porter to Albert Erskine, 1937-12-14",1937-12-14,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,Bayley edition: pp. 155-157
51,UMDM,Katherine Anne Porter papers,1,6,57,9,69,"Katherine Anne Porter to Albert Erskine, 1937-12-15",1937-12-15,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
52,UMDM,Katherine Anne Porter papers,1,6,57,9,75,"Katherine Anne Porter to Albert Erskine, 1937-12-23",1937-12-23,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
53,UMDM,Katherine Anne Porter papers,1,6,57,9,77,"Katherine Anne Porter to Albert Erskine, 1937-12-25",1937-12-25,4,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
54,UMDM,Katherine Anne Porter papers,1,6,57,9,79,"Katherine Anne Porter to Albert Erskine, 1937-12-27",1937-12-27,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
55,UMDM,Katherine Anne Porter papers,1,6,57,9,80,"Katherine Anne Porter to Albert Erskine, 1937-12-27",1937-12-27,4,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
56,UMDM,Katherine Anne Porter papers,1,6,57,9,85,"Katherine Anne Porter to Albert Erskine, 1937-12-29",1937-12-29,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
57,UMDM,Katherine Anne Porter papers,1,6,57,10,1,"Katherine Anne Porter to Albert Erskine, 1938-01-01",1938-01-01,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
58,UMDM,Katherine Anne Porter papers,1,6,57,10,2,"Katherine Anne Porter to Albert Erskine, 1938-01-01",1938-01-01,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Louisiana,New Orleans,
59,UMDM,Katherine Anne Porter papers,1,6,57,10,5,"Katherine Anne Porter to Albert Erskine, 1938-01-06",1938-01-06,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
60,UMDM,Katherine Anne Porter papers,1,6,57,10,8,"Katherine Anne Porter to Albert Erskine, 1938-01-07",1938-01-07,4,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
61,UMDM,Katherine Anne Porter papers,1,6,57,10,9,"Katherine Anne Porter to Albert Erskine, 1938-01-07",1938-01-07,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
62,UMDM,Katherine Anne Porter papers,1,6,57,10,11,"Katherine Anne Porter to Albert Erskine, 1938-01-09",1938-01-09,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
63,UMDM,Katherine Anne Porter papers,1,6,57,10,14,"Katherine Anne Porter to Albert Erskine, 1938-01-10",1938-01-10,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
64,UMDM,Katherine Anne Porter papers,1,6,57,10,17,"Katherine Anne Porter to Albert Erskine, 1938-01-11",1938-01-11,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
65,UMDM,Katherine Anne Porter papers,1,6,57,10,20,"Katherine Anne Porter to Albert Erskine, 1938-01-12",1938-01-12,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
66,UMDM,Katherine Anne Porter papers,1,6,57,10,22,"Katherine Anne Porter to Albert Erskine, 1938-01-13",1938-01-13,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
67,UMDM,Katherine Anne Porter papers,1,6,57,10,26,"Katherine Anne Porter to Albert Erskine, 1938-01-14",1938-01-14,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
68,UMDM,Katherine Anne Porter papers,1,6,57,10,28,"Katherine Anne Porter to Albert Erskine, 1938-01-15",1938-01-15,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
69,UMDM,Katherine Anne Porter papers,1,6,57,10,30,"Katherine Anne Porter to Albert Erskine, 1938-01-16",1938-01-16,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
70,UMDM,Katherine Anne Porter papers,1,6,57,10,33,"Katherine Anne Porter to Albert Erskine, 1938-01-17",1938-01-17,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
71,UMDM,Katherine Anne Porter papers,1,6,57,10,34,"Katherine Anne Porter to Albert Erskine, 1938-01-13",1938-01-13,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
72,UMDM,Katherine Anne Porter papers,1,6,57,10,36,"Katherine Anne Porter to Albert Erskine, 1938-01-18",1938-01-18,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
73,UMDM,Katherine Anne Porter papers,1,6,57,10,37,"Katherine Anne Porter to Albert Erskine, 1938-01-18",1938-01-18,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
74,UMDM,Katherine Anne Porter papers,1,6,57,10,40,"Katherine Anne Porter to Albert Erskine, 1938-01-19",1938-01-19,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
75,UMDM,Katherine Anne Porter papers,1,6,57,10,44,"Katherine Anne Porter to Albert Erskine, 1938-01-20",1938-01-20,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
76,UMDM,Katherine Anne Porter papers,1,6,57,10,47,"Katherine Anne Porter to Albert Erskine, 1938-01-21",1938-01-21,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
77,UMDM,Katherine Anne Porter papers,1,6,57,10,48,"Katherine Anne Porter to Albert Erskine, 1938-01-21",1938-01-21,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
78,UMDM,Katherine Anne Porter papers,1,6,57,10,49,"Katherine Anne Porter to Albert Erskine, 1938-01-21",1938-01-21,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
79,UMDM,Katherine Anne Porter papers,1,6,57,10,52,"Katherine Anne Porter to Albert Erskine, 1938-01-22",1938-01-22,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
80,UMDM,Katherine Anne Porter papers,1,6,57,10,57,"Katherine Anne Porter to Albert Erskine, 1938-01-24",1938-01-24,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
81,UMDM,Katherine Anne Porter papers,1,6,57,10,58,"Katherine Anne Porter to Albert Erskine, 1938-01-24",1938-01-24,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
82,UMDM,Katherine Anne Porter papers,1,6,57,10,60,"Katherine Anne Porter to Albert Erskine, 1938-01-25",1938-01-25,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
83,UMDM,Katherine Anne Porter papers,1,6,57,11,4,"Katherine Anne Porter to Albert Erskine, 1938-02-01",1938-02-01,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
84,UMDM,Katherine Anne Porter papers,1,6,57,11,6,"Katherine Anne Porter to Albert Erskine, 1938-02-02",1938-02-02,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
85,UMDM,Katherine Anne Porter papers,1,6,57,11,9,"Katherine Anne Porter to Albert Erskine, 1938-02-02",1938-02-02,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
86,UMDM,Katherine Anne Porter papers,1,6,57,11,10,"Katherine Anne Porter to Albert Erskine, 1938-02-03",1938-02-03,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
87,UMDM,Katherine Anne Porter papers,1,6,57,11,12,"Katherine Anne Porter to Albert Erskine, 1938-02-04",1938-02-04,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
88,UMDM,Katherine Anne Porter papers,1,6,57,11,13,"Katherine Anne Porter to Albert Erskine, 1938-02-04",1938-02-04,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
89,UMDM,Katherine Anne Porter papers,1,6,57,11,15,"Katherine Anne Porter to Albert Erskine, 1938-02-05",1938-02-05,4,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
90,UMDM,Katherine Anne Porter papers,1,6,57,11,19,"Katherine Anne Porter to Albert Erskine, 1938-02-06",1938-02-06,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
91,UMDM,Katherine Anne Porter papers,1,6,57,11,20,"Katherine Anne Porter to Albert Erskine, 1938-02-07",1938-02-07,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
92,UMDM,Katherine Anne Porter papers,1,6,57,11,21,"Katherine Anne Porter to Albert Erskine, 1938-02-07",1938-02-07,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
93,UMDM,Katherine Anne Porter papers,1,6,57,11,24,"Katherine Anne Porter to Albert Erskine, 1938-02-09",1938-02-09,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
94,UMDM,Katherine Anne Porter papers,1,6,57,11,26,"Katherine Anne Porter to Albert Erskine, 1938-02-09",1938-02-09,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
95,UMDM,Katherine Anne Porter papers,1,6,57,11,28,"Katherine Anne Porter to Albert Erskine, 1938-02-10",1938-02-10,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
96,UMDM,Katherine Anne Porter papers,1,6,57,11,29,"Katherine Anne Porter to Albert Erskine, 1938-02-10",1938-02-10,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
97,UMDM,Katherine Anne Porter papers,1,6,57,11,31,"Katherine Anne Porter to Albert Erskine, 1938-02-11",1938-02-11,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
98,UMDM,Katherine Anne Porter papers,1,6,57,11,33,"Katherine Anne Porter to Albert Erskine, 1938-02-12",1938-02-12,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
99,UMDM,Katherine Anne Porter papers,1,6,57,11,35,"Katherine Anne Porter to Albert Erskine, 1938-02-13",1938-02-13,4,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
100,UMDM,Katherine Anne Porter papers,1,6,57,11,36,"Katherine Anne Porter to Albert Erskine, 1938-02-13",1938-02-13,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
101,UMDM,Katherine Anne Porter papers,1,6,57,11,38,"Katherine Anne Porter to Albert Erskine, 1938-02-14",1938-02-14,6,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
102,UMDM,Katherine Anne Porter papers,1,6,57,11,41,"Katherine Anne Porter to Albert Erskine, 1938-02-15",1938-02-15,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
103,UMDM,Katherine Anne Porter papers,1,6,57,11,44,"Katherine Anne Porter to Albert Erskine, 1938-02-16",1938-02-16,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
104,UMDM,Katherine Anne Porter papers,1,6,57,11,45,"Katherine Anne Porter to Albert Erskine, 1938-02-17",1938-02-17,1,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
105,UMDM,Katherine Anne Porter papers,1,6,57,11,48,"Katherine Anne Porter to Albert Erskine, 1938-02-18",1938-02-18,2,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
106,UMDM,Katherine Anne Porter papers,1,6,57,11,49,"Katherine Anne Porter to Albert Erskine, 1938-02-19",1938-02-19,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
107,UMDM,Katherine Anne Porter papers,1,6,57,11,50,"Katherine Anne Porter to Albert Erskine, 1938-02-19",1938-02-19,3,http://hdl.handle.net/1903.1/1532,66-5,"Porter, Katherine Anne, 1890-1980",North America,United States of America,Texas,Houston,
